start_s,text
757,てぇてぇの過剰摂取でした
759,おめでとうございます
759,おめでとう
765,づみちゃんだろww
767,おめでとうございます
769,おめでとうございます
772,おめでとうございます
774,おめでとうございます
774,おめでとうございます
780,めでてえ！
780,あにまーれだから大丈夫よ
781,いいのよ
781,立派な一員ですよ
781,まぁそうだよねぇ
784,おめでとうございます
784,そこはあにまーれの一員なので
785,いいんですよ
787,あにまーれだからいいんです
796,あにまーれ加入した時点ですごいことだし喜んで
798,もうあにまーれですからね
800,るかこさんも立派な一員だからいいんです
800,その器の774.incのデカさに俺はほれ込んだ
801,言っていいと思うけど、言いづらい気持ちもわかる
805,3人以外オープニングスタッフじゃないから・・・
814,イベントを通して交流が深まるのはいいですね
834,ねるちゃんも、もうあにまーれだからいいんだよってしきりに言ってたね
835,3Dボディも手に入りますしね
837,ねるちゃん優しい
839,あにまーれの一員ですよ
841,うんうん
843,優しいね
843,やさしい
844,てぇてぇ
845,母性を感じる
845,さすねるよ
848,ねるちゃん優しい
849,ぜひ餃子も行ってみて
850,さすねる
851,やさしいなぁ
852,今や1番心が楽しくなる箱だよ
853,うんうん
854,うんうん
855,ドンの器
857,ねるちゃんは気遣い魔王だもんね
860,配信でも言ってたなあ
866,でしょうね
868,それはどの仕事でもそうですねぇ
869,後輩できてからマジで母性感じるようになってきた
871,大浦るかこ、三周年でベテランになってたからいけるいける
877,やさしい
881,草
886,営業妨害って怒られそう
887,確定申告ｗ
888,確定申告ｗ
889,確定申告は草
889,さすねる
889,器のでかい先輩だ
889,確定申告w
892,初期メンの5人はみんなその辺考えてるよねぇ
898,経理担当では？
898,ｗｗ
899,間に挟まれてましたねｗ
903,確定申告のアドバイスは自分も欲しい
903,大トリだったからねｗｗｗ
905,ｗｗｗ
906,最後さすがだった！w
908,すごいとこにはさまれてたねｗ
911,大トリｗ
915,消えたいってずっと言ってたね
915,キラーパスをうまく受け切ってましたねw
915,ｗｗｗｗｗ
916,あの流れは神だったw
917,順番すごかったですねｗ
917,あれやり辛そうだったねｗ
918,それはきついw
919,もはや古株
919,すごい挟まれ方だったねｗ
919,あの順番は恐ろしかった
921,草
921,鬼準は草
922,ww
923,しかも直前に軽く〆られた
925,草
926,w
927,そうだよねw
929,草
929,大鳥
929,あれは驚いたw
929,あれはしょうがないｗ
929,無茶だなぁw
931,大トリおつかれさまでした
932,鬼のハードルだったｗ
932,草
933,大トリよかったですよ
934,すごい貫禄が
935,草
936,でもうまくまとめてましたね
936,草
938,草
939,回線切るしかなかった
939,そやさんエモエモだったしｗ
939,草
942,いちか「いろいろあったな」らん「３人で頑張ってたもんな‥」ねる「ほんとほんと」大浦「消えたい」
942,草
946,コメント良かった
946,しゃーないw
947,きれいにまとめててよかった
948,やりとげたのすごかったですねえ
953,綺麗にまとまってましたよ
957,もうコメントがしっかりしてたから素敵
957,あれ乗り越えたのすげぇって思いました
960,これは１時間で終わらんな・・・・
962,・・・
965,そつない綺麗なコメントでした
966,しっかりした締めができる人材だからねえ
966,あれ？電波がって言って落ちるしかなかったねｗ
968,…
968,ゴルフクラブさん
968,久方ぶりにw
969,るかこの涙見るためにチケット買います
969,・・・
971,うんw
971,・・・。←これねw
973,・・・
973,・・・。
977,三点リーダ♩
977,・・・
979,・・・。
981,ななしコメントで泣いてたね
982,♩
987,・・・♩
987,ゴルフクラブ見てる〜？
987,るかこさん以外みんな寝てるのでは
987,ほう
990,ゴルフクラブ
996,うお
998,ひ
998,えぇ…
998,ヘビーなの選びましたね
999,！？
999,ええｗ
999,！？
999,っは？
999,わーお
1000,！？
1000,ワーオ
1000,７千万！”！？
1000,？？
1001,え
1001,わぉ
1002,つら
1002,うぇ！？
1002,oh…
1002,えぇ・・・
1003,ひぇ
1003,わお
1004,7000万！？
1004,oh......
1004,！？
